uncleanedreview,decision
"This phone isn't kidding when it says military specs. I had a hole in my pocket and it went tumbling down a flight of concrete steps (20 steps). It had a few scratches but it worked fine. It also made a few other death - defying leaps. It is VERY drop resistant. That being said, it is not crush proof. It's battery was just about dead so I decided to leave it in the car to charge. I plugged it into the car charger, grabbed my purse, and got out of the car. Unbeknownst to me, the charger cord was tangled around my purse. I stood up and closed the car door - right on this phone. That left a BIG mark - that finally did it in (If it still worked, I would have had the world's first boomerang phone - it looked just like a boomerang afterwards). I just ordered a new one. As much as I beat up my last phone and as well as it fared, I had to get another one. My only pet peeve with this phone is they could have at least given me ONE full game - not the lame demos that are included with it. The phone itself is about the size of a Hershey bar. I often keep it in my pants pocket (the front pocket).",negative
I bought this phone and found out IDEN phones with sim cards are no longer eligible for service with Boost Mobile. So buyer be ware dont buy these unless you already have service with a sim card.,positive
i wont ( enter special code ),negative
my mother said that she loves Walkie Talkie Phones so what i did was i bought this for my mother Denise Avellan for mothers day of 2014 and my mother loves it. what a great Direct Connect Connection!!!!!!,positive
Bought this phone only to be told it would no longer work on network. Waste of money and seller knew they would not work and did not say anything.,negative
For the price you really get a solid boost motorola phone. Sounds and looks good.,positive
"PHONE DID NOT COME WITH A SIM CARD....INFORMATION I WOULD'VE LIKED TO HAVE..... PHONE WORKS FINE, BUT BECAUSE PTT (WALKIE) IS BEING PHASED-OUT ON BOOST, NO SIM. RATING IS FOR PHONE, BUT VERY UNHAPPY NOT TO HAVE ALL THE FACTS PRIOR TO PURCHASE.",positive
"This is not a ""boost"" phone and will not work as a GPS with Boost. Had to send it back. A huge pain for something that is $24. This is a rip-off.",negative
good phone works well. very simple to use.dropped a few times and still works fine.,positive
"You get the basic functions for what a cell phone is needed for, in other words this phone is simple and effective.",positive
Wouldn't know anything about the cell phone I ordered because the person hasn't even shipped it yet. It's been a month! And amazon has does nothing to help and really has nothing for an option to provide assistance.,negative
"For someone needing a very basic phone and services (i.e., no email access, no camera, etc.) this phone is quite good. The sound quality on both the built in speaker and mic and the speaker phone are very good, the phone itself is very portable and it has buttons one does not have to be a midget to operate. On the negative side (and why I give it 4 instead of 5 stars), it has a relatively small battery for its size, as anyone who has opened but back to install can attest. Hence the battery power for such a basic phone is not on a par with other ""basic"" phones, though not by much. A second critique is the very small screen which is, in addition, not very well lit. It can be a problem viewing, even in the shade. A third problem is that the interface for some of the features (i.e., voice recorder, contact list) is not as easy as it should be. Thanks to the small screen, one needs to scroll quite a bit to access some of the phone's features. One last critique is that the messaging service is quite slow. Hence if you need to use such a feature this phone is far from optimal. All and all a very good phone despite the weaknesses cited above. If someone is looking for a barebones phone this is more than fulfills the requirements.",positive
"I am a professional who recently purchased a Sanyo Juno phone to use as an extra special-purpose business phone. After using Boost cards to pay for the phone for two months I switched to the Auto Re-Boost Payment Service, wherein payments are automatically charged to my credit card each month. What a terrible mistake. Boost Mobile has been making monthly charges to my credit card at the same time that it has cut off my phone service, telling me that there is no money in my account. Of course, the latter cannot be true is the former is true. When I call Boost's service number to resolve the problem I learn that there are no human beings to speak to, only an automated list of options, none of which correspond to my problem. When I contact Boost via its online customer service (an e-mail option in which the customer is asked to describe his or her problem) I receive a phone call instructing me to call the service number, which, as I've just noted, provides no human operator and tells me that there is no money in my account. In other words, Boost Mobile tells me that to restore my service I must make another payment, even though that payment has already been made by their Auto Re-Boost plan. In effect, I must pay twice for each month of service and there is nothing I can do about it. Is this a company you would want to do business with? I deeply regret selecting to business with this company.",negative
"I picked this up to use with Boost Mobile. All I wanted was a phone with walkie talkie and this fit the bill. I have a digital camera for pictures, phones don't need a camera. This phone has not dropped one call since I activated it. Everytime I DT with someone it works. This phone gets a signal where T-Mobile, Sprint and all others fail. The buttons for texting and replying to emails are easy to handle. If you are looking for a ""phone"" this is the one to get. I would give this 10 starts if it were allowed. Another plus is it handles mp3's & GIF images which I upload from my own PC to the phone.",positive
"This phone is awesome. I have one through Boost Mobile with the unlimited plan. Bought it on August 6th and no regrets. People that whine and complain about the screen res or no games. It's a phone people, nothing more, nothing less. I use the walkie-talkie regularly, my wife and I text back and forth daily with no missed or missing messages. This phone receives/makes calls and walkie-talkie's where others have failed. If people want games buy a Gameboy, want pictures buy a camera, not real hard to figure out. This little gem was built to be a phone and that's exactly what it is. In short.... See it as it really is, a phone.",negative
"i dont want to sound like a hot head but i havent had the best luck with cell phones, when i get a bad call the phone goes flying. this phone has impressed me with its durablity, i have thrown it, droped it and it even went flying out of my cars window while on the street when i wasnt looking, and it still works. best phone i ever bought. why would you buy a phone that cost $400 and worry every time you drop it, when if this one falls you just brush off the dirt and go on your way.",negative
"I find texting impossible on this phone. As another reviewer said, the screen goes blank randomly and you have to turn it off and on again. Also the phone randomly turns off phone transmissions and you have to turn it back on to receive/make phone calls. There has to be better phones out there.",positive
"I recently had an i776 which was ruined at work. I had good service with it and it worked well. I spent $50 on this piece, the service is horrible, very patchy. I don't receive texts, sometimes the screens goes white for no reason. The key pad lights stopped working, the phone has no alarm. The battery doesn't last more than a day. I have only had to phone for two months. Its the worst phone ive owned, do not buy this. The i776 is a good phone,but you have to buy the rugged version.",negative
I LOVE THIS PHONE! YES I WOULD LOVE IT TO HAVE MORE FEATURES BUT I LOVE THIS PHONE! THE SOUND QUALITY IS GREAT! I COULD BE DOING LAUNDRY AND BE TALKING IN SPEAKER AND HEAR AND BE HERD PERFECTLY WITHOUT THE ECKO MOST PHONES MAKE TO WHO EVER IS LISTENING TO YOU THE WEB IS NORMAL LIKE ANY OTHER PHONE THE TEXING IS GOOD ASS WELL OVERALL THIS PHONE WON ME OVER WITH ITS SOUND QUALITY IVE HAD SO MANY PHONES VERY LOW ON SOUND THIS PHONE IS PERFECT I HAD THE OTHER PHONE THE $[...]. ONE BUT UPGRADED TO THIS ONE AND LOVE IT'S EVEN BETTER THAN THE OTHER ONE ITS VERY EASY TO TIPE THE BUTTONS ARE NOT HARD AT ALL LOVE THIS PHONE.,positive
